woorden,lettergrepen,aantal lettergrepen
zwabberige,"['zwab', 'be', 'ri', 'ge']",4
klif,['klif'],1
pokhout,"['pok', 'hout']",2
Kretenzisch,"['Kre', 'ten', 'zisch']",3
schrijden aan,"['schrij', 'den', 'aan']",3
begijnhof,"['be', 'gijn', 'hof']",3
bruintje,"['bruin', 'tje']",2
schoolbegeleider,"['school', 'be', 'ge', 'lei', 'der']",5
zorgstelsel,"['zorg', 'stel', 'sel']",3
onderlijntjes,"['on', 'der', 'lijn', 'tjes']",4
motortechniek,"['mo', 'tor', 'tech', 'niek']",4
niesen,"['nie', 'sen']",2
pendel,"['pen', 'del']",2
aprildagen,"['april', 'da', 'gen']",3
Guamezen,"['Gua', 'me', 'zen']",3
terugdenkt,"['te', 'rug', 'denkt']",3
zeilkampje,"['zeil', 'kamp', 'je']",3
versmedend,"['ver', 'sme', 'dend']",3
hagelsteen,"['ha', 'gel', 'steen']",3
predikaat,"['pre', 'di', 'kaat']",3
kijf,['kijf'],1
parkour,"['par', 'kour']",2
grondvestertjes,"['grond', 'ves', 'ter', 'tjes']",4
krantenman,"['kran', 'ten', 'man']",3
kontdraaier,"['kont', 'draai', 'er']",3
anticycloon,"['an', 'ti', 'cy', 'cloon']",4
vervulbaarheidsprobleem,"['ver', 'vul', 'baar', 'heids', 'pro', 'bleem']",6
hielden bijeen,"['hiel', 'den', 'bij', 'een']",4
filmografie,"['fil', 'mo', 'gra', 'fie']",4
anekdotischere,"['anek', 'do', 'ti', 'sche', 're']",5
varkenshaas,"['var', 'kens', 'haas']",3
vierendelend,"['vie', 'ren', 'de', 'lend']",4
halfhysterisch,"['half', 'hys', 'te', 'risch']",4
meezingen,"['mee', 'zin', 'gen']",3
resocialisatie,"['re', 'so', 'ci', 'a', 'li', 'sa', 'tie']",7
nachttreinverbinding,"['nacht', 'trein', 'ver', 'bin', 'ding']",5
outletcenter,"['out', 'let', 'cen', 'ter']",4
mordicus,"['mor', 'di', 'cus']",3
neusruggen,"['neus', 'rug', 'gen']",3
wereldkerk,"['we', 'reld', 'kerk']",3
zymase,"['zy', 'ma', 'se']",3
Potosi,"['Po', 'to', 'si']",3
Belgisch,"['Bel', 'gisch']",2
flapdrol,"['flap', 'drol']",2
lustigheidjes,"['lus', 'tig', 'heid', 'jes']",4
heleboel,"['he', 'le', 'boel']",3
overeengekomen,"['over', 'een', 'ge', 'ko', 'men']",5
bibliotheekassistent,"['bi', 'blio', 'theek', 'as', 'sis', 'tent']",6
Ingrisch,"['In', 'grisch']",2
sleutelbos,"['sleu', 'tel', 'bos']",3
panhellenisme,"['pan', 'hel', 'le', 'nis', 'me']",5
reisagentschap,"['reis', 'agent', 'schap']",3
Bresciaans,"['Bres', 'ci', 'aans']",3
#NAME?,"['-man', 'tie']",2
uraan,['uraan'],1
Maharashtra-Konkani,"['Ma', 'ha', 'rash', 'tra-Kon', 'ka', 'ni']",6
defect,"['de', 'fect']",2
fysioplastisch,"['fy', 'sio', 'plas', 'tisch']",4
improvisatievermogen,"['im', 'pro', 'vi', 'sa', 'tie', 'ver', 'mo', 'gen']",8
jeugdvriendinnen,"['jeugd', 'vrien', 'din', 'nen']",4
pachter,"['pach', 'ter']",2
kerstkindjes,"['kerst', 'kind', 'jes']",3
gemeentevlag,"['ge', 'meen', 'te', 'vlag']",4
rossinant,"['ros', 'si', 'nant']",3
dennenpijlstaart,"['den', 'nen', 'pijl', 'staart']",4
morsen,"['mor', 'sen']",2
verstoppend,"['ver', 'stop', 'pend']",3
accelerators,"['ac', 'ce', 'le', 'ra', 'tors']",5
wies uit,"['wies', 'uit']",2
chaperonneren,"['cha', 'pe', 'ron', 'ne', 'ren']",5
spektakel,"['spek', 'ta', 'kel']",3
bontgekleurd,"['bont', 'ge', 'kleurd']",3
