woorden,lettergrepen,aantal lettergrepen
betonend,"['be', 'to', 'nend']",3
kunstschaats,"['kunst', 'schaats']",2
schoffeltjes,"['schof', 'fel', 'tjes']",3
misviering,"['mis', 'vie', 'ring']",3
vetleren,"['vet', 'le', 'ren']",3
enig,['enig'],1
taartpunten,"['taart', 'pun', 'ten']",3
zijstukken,"['zij', 'stuk', 'ken']",3
spelleidingen,"['spel', 'lei', 'din', 'gen']",4
ivoren,"['ivo', 'ren']",2
coronavirusuitbraken,"['co', 'ro', 'na', 'vi', 'rus', 'uit', 'bra', 'ken']",8
zetten samen,"['zet', 'ten', 'sa', 'men']",4
omspannen,"['om', 'span', 'nen']",3
spotgoedkoper,"['spot', 'goed', 'ko', 'per']",4
onderwaarderen,"['on', 'der', 'waar', 'de', 'ren']",5
voleindt,"['vol', 'eindt']",2
Burundi,"['Bu', 'run', 'di']",3
linkerdijbeenbreukje,"['lin', 'ker', 'dij', 'been', 'breuk', 'je']",6
aangrijpender,"['aan', 'grij', 'pen', 'der']",4
frietjes,"['friet', 'jes']",2
tegenwerking,"['te', 'gen', 'wer', 'king']",4
nachtzichtkijkertjes,"['nacht', 'zicht', 'kij', 'ker', 'tjes']",5
ceremonieuzer,"['ce', 're', 'mo', 'ni', 'eu', 'zer']",6
vuilophaal,"['vuil', 'op', 'haal']",3
vegeteren,"['ve', 'ge', 'te', 'ren']",4
lexicalere,"['lexi', 'ca', 'le', 're']",4
weerhield,"['weer', 'hield']",2
ijskist,"['ijs', 'kist']",2
taalontwikkelingsstoornis,"['taal', 'ont', 'wik', 'ke', 'lings', 'stoor', 'nis']",7
grote mantelmeeuw,"['gro', 'te', 'man', 'tel', 'meeuw']",5
vliegvelden,"['vlieg', 'vel', 'den']",3
nobelium,"['no', 'be', 'li', 'um']",4
ravioli,"['ra', 'vi', 'o', 'li']",4
dage,"['da', 'ge']",2
testikel,"['tes', 'ti', 'kel']",3
noodaggregaat,"['nood', 'ag', 'gre', 'gaat']",4
stroef,['stroef'],1
mineursextakkoord,"['mi', 'neur', 'sext', 'ak', 'koord']",5
gekist,"['ge', 'kist']",2
kalfsbiefstuk,"['kalfs', 'bief', 'stuk']",3
arrheniuszuur,"['ar', 'rhe', 'nius', 'zuur']",4
Fokker 100-toestellen,"['Fok', 'ker', '100-toe', 'stel', 'len']",5
inroosteren,"['in', 'roos', 'te', 'ren']",4
mafkikkertje,"['maf', 'kik', 'ker', 'tje']",4
groeiends,"['groei', 'ends']",2
kosmos,"['kos', 'mos']",2
heroveren,"['her', 'ove', 'ren']",3
toponiem,"['to', 'po', 'niem']",3
betere,"['be', 'te', 're']",3
tuinwolfsmelk,"['tuin', 'wolfs', 'melk']",3
opacriminaliteit,"['opa', 'cri', 'mi', 'na', 'li', 'teit']",6
-egge,"['-eg', 'ge']",2
vloedgolf,"['vloed', 'golf']",2
talen,"['ta', 'len']",2
exhibita,"['ex', 'hi', 'bi', 'ta']",4
fascineren,"['fas', 'ci', 'ne', 'ren']",4
kuk,['kuk'],1
onaangekleedste,"['on', 'aan', 'ge', 'kleed', 'ste']",5
blom,['blom'],1
bollenvrouwen,"['bol', 'len', 'vrou', 'wen']",4
geriater,"['ge', 'ri', 'a', 'ter']",4
bakzeil,"['bak', 'zeil']",2
taalgeschiedenis,"['taal', 'ge', 'schie', 'de', 'nis']",5
reactiesnelheid,"['re', 'ac', 'tie', 'snel', 'heid']",5
timmermanspotloodjes,"['tim', 'mer', 'mans', 'pot', 'lood', 'jes']",6
sarcast,"['sar', 'cast']",2
nabloedend,"['na', 'bloe', 'dend']",3
bissen,"['bis', 'sen']",2
marimba,"['ma', 'rim', 'ba']",3
vernielingen,"['ver', 'nie', 'lin', 'gen']",4
kunstschilder,"['kunst', 'schil', 'der']",3
decentrering,"['de', 'cen', 'tre', 'ring']",4
zielszorg,"['ziels', 'zorg']",2
gewis,"['ge', 'wis']",2
strop,['strop'],1
onverwachts,"['on', 'ver', 'wachts']",3
marteling,"['mar', 'te', 'ling']",3
keilderen,"['keil', 'de', 'ren']",3
deductief,"['de', 'duc', 'tief']",3
Abure,"['Abu', 're']",2
kafferbuffel,"['kaf', 'fer', 'buf', 'fel']",4
franco,"['fran', 'co']",2
boeisel,"['boei', 'sel']",2
kabaalvijvertjes,"['ka', 'baal', 'vij', 'ver', 'tjes']",5
geografisch,"['geo', 'gra', 'fisch']",3
dispar vulgo,"['dis', 'par', 'vul', 'go']",4
calqueerpapier,"['cal', 'queer', 'pa', 'pier']",4
huisvadertje,"['huis', 'va', 'der', 'tje']",4
arrêteren,"['ar', 'rê', 'te', 'ren']",4
beginpunten,"['be', 'gin', 'pun', 'ten']",4
voelhoorntjes,"['voel', 'hoorn', 'tjes']",3
zeveraar,"['ze', 've', 'raar']",3
twee-eiig,"['twee-ei', 'ig']",2
prononceren,"['pro', 'non', 'ce', 'ren']",4
plastische chirurgie,"['plas', 'ti', 'sche', 'chi', 'rur', 'gie']",6
winterkoning,"['win', 'ter', 'ko', 'ning']",4
zwerkbal,"['zwerk', 'bal']",2
afdrukje,"['af', 'druk', 'je']",3
angstdroom,"['angst', 'droom']",2
kwadrateerde,"['kwa', 'dra', 'teer', 'de']",4
kunstwerk,"['kunst', 'werk']",2
ambivalentie,"['am', 'bi', 'va', 'len', 'tie']",5
abdicatiedagen,"['ab', 'di', 'ca', 'tie', 'da', 'gen']",6
laad- en losplaatsen,"['laad-', 'en', 'los', 'plaat', 'sen']",5
neonatoloog,"['neo', 'na', 'to', 'loog']",4
neushoornhoorns,"['neus', 'hoorn', 'hoorns']",3
tarantella,"['ta', 'ran', 'tel', 'la']",4
vrouwenhandel,"['vrou', 'wen', 'han', 'del']",4
slangenbezweerder,"['slan', 'gen', 'be', 'zweer', 'der']",5
Azerbeidzjaanste,"['Azer', 'bei', 'dzjaans', 'te']",4
opgebakken,"['op', 'ge', 'bak', 'ken']",4
klarinettist,"['kla', 'ri', 'net', 'tist']",4
meeneemt,"['mee', 'neemt']",2
kortsluitspanning,"['kort', 'sluit', 'span', 'ning']",4
Chipewyaans,"['Chi', 'pe', 'wy', 'aans']",4
aandoenlijke,"['aan', 'doen', 'lij', 'ke']",4
verdragsmiddelen,"['ver', 'drags', 'mid', 'de', 'len']",5
contactcentrum,"['con', 'tact', 'cen', 'trum']",4
valeriaanzuur,"['va', 'le', 'ri', 'aan', 'zuur']",5
kreveling,"['kre', 've', 'ling']",3
vijandschap,"['vij', 'and', 'schap']",3
verfomfaaidere,"['ver', 'fom', 'faai', 'de', 're']",5
radiator,"['ra', 'di', 'a', 'tor']",4
roerig,"['roe', 'rig']",2
verzitten,"['ver', 'zit', 'ten']",3
schommelen,"['schom', 'me', 'len']",3
pestvogel,"['pest', 'vo', 'gel']",3
A-biljet,"['A-bil', 'jet']",2
inoculeren,"['in', 'ocu', 'le', 'ren']",4
spoorstakinkjes,"['spoor', 'sta', 'kin', 'kjes']",4
korren,"['kor', 'ren']",2
jodenkoek,"['jo', 'den', 'koek']",3
lijnrijderij,"['lijn', 'rij', 'de', 'rij']",4
gebbe,"['geb', 'be']",2
microhenry,"['mi', 'cro', 'hen', 'ry']",4
concluderen,"['con', 'clu', 'de', 'ren']",4
tyfoon,"['ty', 'foon']",2
polysynthetisch,"['po', 'ly', 'syn', 'the', 'tisch']",5
spellesjes,"['spel', 'les', 'jes']",3
hemelblauwtjes,"['he', 'mel', 'blauw', 'tjes']",4
Engels,"['En', 'gels']",2
thermobarometer,"['ther', 'mo', 'ba', 'ro', 'me', 'ter']",6
tijdmachine,"['tijd', 'ma', 'chi', 'ne']",4
24 uursdienstjes,"['24', 'uurs', 'dienst', 'jes']",4
tweehuizige,"['twee', 'hui', 'zi', 'ge']",4
milliwatt,"['mil', 'li', 'watt']",3
houd boek,"['houd', 'boek']",2
zwempak,"['zwem', 'pak']",2
gebaar,"['ge', 'baar']",2
